UsaBiblioteca,frequencia,periodo,conheceSistemaAtual,frequenciaDoSistemaAtual,dificuldade,interesseHotLibrary
Sim,Frequentemente,Noite,Sim,Frequentemente,Pouca dificuldade,Sim
Sim,Frequentemente,Noite,Sim,Raramente,Pouca dificuldade,Sim
Sim,Raramente,Noite,Não,Não utilizo,Muita dificuldade,Sim
Sim,Raramente,Noite,Não,Não utilizo,Indiferente,Sim
Sim,Raramente,Noite,Sim,Raramente,Nenhuma dificuldade,Sim
Sim,Raramente,Noite,Não,Não utilizo,Indiferente,Sim
Sim,Raramente,Noite,Sim,Esporadicamente,Indiferente,Sim
Não,Não utilizo,Noite,Não,Não utilizo,Nenhuma dificuldade,Sim
Não,Não utilizo,Noite,Sim,Não utilizo,Nenhuma dificuldade,Sim
Sim,Raramente,Noite,Sim,Raramente,Indiferente,Sim
Sim,Raramente,Tarde,Não,Não utilizo,Nenhuma dificuldade,Sim
Sim,Raramente,Noite,Sim,Raramente,Indiferente,Sim
Sim,Frequentemente,Noite,Sim,Frequentemente,Pouca dificuldade,Sim
Não,Raramente,Noite,Não,Não utilizo,Indiferente,Sim
Sim,Raramente,Noite,Sim,Raramente,Indiferente,Sim
Não,Não utilizo,Noite,Sim,Não utilizo,Indiferente,Sim
Não,Não utilizo,Noite,Não,Não utilizo,Indiferente,Sim
Não,Não utilizo,Noite,Não,Não utilizo,Nenhuma dificuldade,Sim
Sim,Raramente,Noite,Sim,Não utilizo,Muita dificuldade,Sim
Sim,Esporadicamente,Noite,Sim,Esporadicamente,Muita dificuldade,Sim
Sim,Raramente,Noite,Sim,Não utilizo,Pouca dificuldade,Sim
Sim,Raramente,Noite,Não,Não utilizo,Indiferente,Sim
Não,Não utilizo,Tarde,Não,Não utilizo,Indiferente,Sim
Sim,Esporadicamente,Noite,Sim,Raramente,Indiferente,Sim
Sim,Raramente,Noite,Não,Não utilizo,Indiferente,Sim
Sim,Frequentemente,Noite,Não,Não utilizo,Indiferente,Sim
Sim,Raramente,Manhã,Não,Não utilizo,Indiferente,Sim
Sim,Raramente,Noite,Sim,Raramente,Pouca dificuldade,Não
Não,Não utilizo,Noite,Não,Não utilizo,Indiferente,Sim
Sim,Esporadicamente,Noite,Sim,Não utilizo,Indiferente,Sim
Sim,Esporadicamente,Noite,Sim,Esporadicamente,Nenhuma dificuldade,Sim
Sim,Frequentemente,Noite,Sim,Raramente,Indiferente,Sim
Sim,Raramente,Noite,Não,Não utilizo,Indiferente,Não
Sim,Esporadicamente,Noite,Sim,Raramente,Indiferente,Sim
Não,Raramente,Noite,Não,Não utilizo,Muita dificuldade,Sim
Sim,Frequentemente,Noite,Sim,Esporadicamente,Nenhuma dificuldade,Sim
Não,Não utilizo,Noite,Não,Não utilizo,Indiferente,Sim
Sim,Raramente,Noite,Não,Não utilizo,Indiferente,Sim
Não,Não utilizo,Noite,Não,Não utilizo,Indiferente,Sim
Sim,Esporadicamente,Noite,Sim,Esporadicamente,Nenhuma dificuldade,Sim
Sim,Frequentemente,Noite,Sim,Frequentemente,Pouca dificuldade,Sim
Sim,Esporadicamente,Noite,Sim,Raramente,Muita dificuldade,Sim
Sim,Raramente,Noite,Não,Não utilizo,Indiferente,Sim
Não,Não utilizo,Noite,Não,Não utilizo,Muita dificuldade,Sim
Não,Não utilizo,Noite,Não,Não utilizo,Muita dificuldade,Sim
Não,Não utilizo,Tarde,Não,Frequentemente,Pouca dificuldade,Sim
Sim,Frequentemente,Manhã,Sim,Frequentemente,Muita dificuldade,Sim
Sim,Esporadicamente,Tarde,Não,Não utilizo,Muita dificuldade,Sim
Não,Não utilizo,Manhã,Não,Não utilizo,Muita dificuldade,Sim
Não,Não utilizo,Noite,Não,Não utilizo,Nenhuma dificuldade,Sim
